A,B,C,D,AVERAGE
64.0,933.0,517.0,453.0,491.75
433.0,98.0,551.0,32.0,278.5
791.0,81.0,810.0,103.0,446.25
518.0,30.0,169.0,27.0,186.0
808.0,400.0,348.0,772.0,582.0
48.0,834.0,615.0,763.0,565.0
825.0,992.0,37.0,212.0,516.5
613.0,870.0,435.0,896.0,703.5
720.0,833.0,237.0,186.0,494.0
514.0,904.0,467.0,739.0,656.0
272.0,982.0,338.0,902.0,623.5
486.0,450.0,755.0,401.0,523.0
556.0,802.0,691.0,195.0,561.0
188.0,467.0,812.0,477.0,486.0
436.0,441.0,193.0,874.0,486.0
21.0,153.0,219.0,131.0,131.0
183.0,62.0,612.0,185.0,260.5
194.0,979.0,359.0,536.0,517.0
467.0,483.0,185.0,521.0,414.0
887.0,864.0,503.0,11.0,566.25
408.0,653.0,166.0,586.0,453.25
470.0,974.0,240.0,285.0,492.25
58.0,466.0,47.0,507.0,269.5
625.0,822.0,631.0,939.0,754.25
761.0,258.0,935.0,85.0,509.75
992.0,239.0,152.0,927.0,577.5
868.0,800.0,937.0,14.0,654.75
336.0,750.0,785.0,619.0,622.5
146.0,682.0,535.0,830.0,548.25
657.0,168.0,415.0,650.0,472.5
557.0,126.0,715.0,335.0,433.25
417.0,683.0,612.0,360.0,518.0
431.0,187.0,614.0,631.0,465.75
256.0,60.0,183.0,396.0,223.75
589.0,756.0,158.0,932.0,608.75
652.0,748.0,736.0,143.0,569.75
385.0,654.0,372.0,482.0,473.25
791.0,148.0,999.0,19.0,489.25
637.0,192.0,872.0,805.0,626.5
463.0,349.0,849.0,277.0,484.5
134.0,338.0,573.0,899.0,486.0
595.0,109.0,586.0,710.0,500.0
298.0,87.0,848.0,78.0,327.75
47.0,649.0,434.0,665.0,448.75
88.0,331.0,912.0,514.0,461.25
941.0,802.0,104.0,543.0,597.5
13.0,788.0,141.0,232.0,293.5
57.0,518.0,353.0,376.0,326.0
823.0,508.0,167.0,497.0,498.75
760.0,276.0,790.0,335.0,540.25
901.0,968.0,202.0,914.0,746.25
156.0,830.0,274.0,871.0,532.75
794.0,110.0,266.0,240.0,352.5
735.0,360.0,761.0,753.0,652.25
161.0,354.0,748.0,157.0,355.0
890.0,742.0,582.0,655.0,717.25
300.0,584.0,376.0,177.0,359.25
292.0,901.0,67.0,925.0,546.25
90.0,245.0,417.0,905.0,414.25
848.0,394.0,334.0,541.0,529.25
127.0,562.0,920.0,134.0,435.75
852.0,597.0,795.0,651.0,723.75
344.0,733.0,191.0,635.0,475.75
6.0,915.0,535.0,13.0,367.25
681.0,420.0,851.0,368.0,580.0
4.0,562.0,788.0,840.0,548.5
928.0,234.0,657.0,66.0,471.25
64.0,670.0,874.0,705.0,578.25
8.0,959.0,219.0,247.0,358.25
153.0,479.0,134.0,224.0,247.5
619.0,728.0,798.0,118.0,565.75
208.0,297.0,768.0,914.0,546.75
750.0,759.0,647.0,40.0,549.0
587.0,92.0,968.0,848.0,623.75
796.0,898.0,57.0,457.0,552.0
620.0,730.0,278.0,678.0,576.5
123.0,717.0,592.0,656.0,522.0
438.0,693.0,886.0,721.0,684.5
850.0,270.0,247.0,772.0,534.75
945.0,986.0,63.0,521.0,628.75
933.0,949.0,948.0,898.0,932.0
170.0,449.0,699.0,700.0,504.5
642.0,876.0,491.0,144.0,538.25
990.0,891.0,757.0,928.0,891.5
235.0,374.0,744.0,263.0,404.0
514.0,21.0,425.0,124.0,271.0
892.0,240.0,650.0,136.0,479.5
472.0,717.0,592.0,338.0,529.75
905.0,28.0,418.0,680.0,507.75
879.0,953.0,508.0,316.0,664.0
975.0,533.0,449.0,103.0,515.0
671.0,188.0,323.0,797.0,494.75
162.0,446.0,40.0,490.0,284.5
7.0,906.0,748.0,551.0,553.0
772.0,839.0,268.0,419.0,574.5
55.0,246.0,923.0,218.0,360.5
415.0,44.0,918.0,32.0,352.25
657.0,944.0,32.0,811.0,611.0
362.0,353.0,113.0,810.0,409.5
387.0,506.0,101.0,59.0,263.25
237.0,393.0,765.0,310.0,426.25
392.0,983.0,970.0,256.0,650.25
830.0,684.0,959.0,650.0,780.75
187.0,905.0,176.0,852.0,530.0
49.0,80.0,331.0,822.0,320.5
777.0,205.0,802.0,352.0,534.0
241.0,623.0,231.0,406.0,375.25
222.0,260.0,509.0,935.0,481.5
663.0,410.0,544.0,331.0,487.0
103.0,975.0,998.0,859.0,733.75
20.0,100.0,818.0,413.0,337.75
794.0,706.0,918.0,82.0,625.0
984.0,943.0,720.0,703.0,837.5
899.0,178.0,735.0,724.0,634.0
474.0,588.0,201.0,159.0,355.5
282.0,648.0,162.0,491.0,395.75
693.0,480.0,902.0,79.0,538.5
274.0,248.0,503.0,79.0,276.0
801.0,746.0,568.0,641.0,689.0
31.0,607.0,457.0,97.0,298.0
36.0,496.0,661.0,397.0,397.5
931.0,37.0,350.0,103.0,355.25
712.0,862.0,58.0,467.0,524.75
513.0,239.0,251.0,381.0,346.0
266.0,184.0,473.0,832.0,438.75
630.0,621.0,881.0,197.0,582.25
224.0,468.0,159.0,591.0,360.5
416.0,31.0,798.0,86.0,332.75
486.0,733.0,671.0,645.0,633.75
527.0,784.0,469.0,347.0,531.75
799.0,447.0,946.0,873.0,766.25
384.0,974.0,27.0,821.0,551.5
340.0,625.0,680.0,957.0,650.5
487.0,577.0,444.0,603.0,527.75
667.0,498.0,64.0,338.0,391.75
770.0,832.0,493.0,104.0,549.75
688.0,1.0,650.0,43.0,345.5
659.0,874.0,776.0,676.0,746.25
15.0,861.0,292.0,256.0,356.0
951.0,673.0,948.0,108.0,670.0
876.0,942.0,693.0,756.0,816.75
523.0,731.0,159.0,467.0,470.0
47.0,201.0,965.0,108.0,330.25
698.0,329.0,165.0,502.0,423.5
142.0,920.0,109.0,140.0,327.75
274.0,535.0,906.0,93.0,452.0
481.0,643.0,892.0,635.0,662.75
896.0,897.0,842.0,923.0,889.5
2.0,497.0,466.0,522.0,371.75
752.0,562.0,110.0,593.0,504.25
29.0,345.0,929.0,588.0,472.75
648.0,983.0,132.0,498.0,565.25
428.0,935.0,174.0,61.0,399.5
401.0,228.0,788.0,425.0,460.5
86.0,288.0,709.0,925.0,502.0
220.0,580.0,532.0,775.0,526.75
415.0,337.0,611.0,796.0,539.75
414.0,33.0,812.0,945.0,551.0
187.0,574.0,871.0,376.0,502.0
35.0,939.0,911.0,154.0,509.75
187.0,85.0,458.0,850.0,395.0
290.0,230.0,517.0,98.0,283.75
768.0,2.0,878.0,102.0,437.5
488.0,70.0,332.0,634.0,381.0
759.0,499.0,899.0,657.0,703.5
3.0,822.0,448.0,834.0,526.75
525.0,625.0,634.0,255.0,509.75
977.0,791.0,418.0,285.0,617.75
77.0,385.0,21.0,135.0,154.5
271.0,100.0,496.0,168.0,258.75
148.0,298.0,236.0,144.0,206.5
436.0,809.0,719.0,473.0,609.25
735.0,182.0,363.0,387.0,416.75
421.0,948.0,84.0,147.0,400.0
360.0,659.0,838.0,489.0,586.5
419.0,485.0,433.0,316.0,413.25
7.0,496.0,197.0,698.0,349.5
814.0,264.0,281.0,858.0,554.25
953.0,445.0,717.0,837.0,738.0
855.0,305.0,362.0,175.0,424.25
313.0,270.0,12.0,551.0,286.5
629.0,216.0,394.0,601.0,460.0
976.0,386.0,304.0,333.0,499.75
690.0,988.0,924.0,727.0,832.25
441.0,556.0,250.0,500.0,436.75
620.0,993.0,10.0,753.0,594.0
671.0,982.0,206.0,500.0,589.75
999.0,16.0,621.0,336.0,493.0
0.0,434.0,173.0,418.0,256.25
57.0,202.0,970.0,88.0,329.25
198.0,848.0,472.0,391.0,477.25
322.0,420.0,723.0,68.0,383.25
440.0,313.0,83.0,174.0,252.5
964.0,794.0,260.0,573.0,647.75
328.0,965.0,833.0,22.0,537.0
837.0,653.0,507.0,122.0,529.75
193.0,700.0,781.0,753.0,606.75
217.0,457.0,629.0,367.0,417.5
977.0,55.0,490.0,446.0,492.0
705.0,94.0,647.0,307.0,438.25
119.0,346.0,713.0,373.0,387.75
904.0,82.0,795.0,340.0,530.25
953.0,953.0,272.0,430.0,652.0
123.0,874.0,242.0,998.0,559.25
527.0,963.0,534.0,987.0,752.75
545.0,372.0,514.0,962.0,598.25
193.0,801.0,532.0,868.0,598.5
606.0,348.0,103.0,569.0,406.5
801.0,751.0,373.0,630.0,638.75
191.0,654.0,352.0,363.0,390.0
869.0,301.0,805.0,283.0,564.5
622.0,292.0,808.0,222.0,486.0
321.0,633.0,36.0,892.0,470.5
691.0,262.0,478.0,248.0,419.75
527.0,675.0,400.0,116.0,429.5
567.0,682.0,190.0,195.0,408.5
757.0,977.0,407.0,470.0,652.75
57.0,189.0,711.0,987.0,486.0
849.0,909.0,963.0,564.0,821.25
109.0,155.0,760.0,301.0,331.25
218.0,886.0,480.0,368.0,488.0
416.0,258.0,348.0,513.0,383.75
32.0,511.0,428.0,684.0,413.75
782.0,516.0,206.0,284.0,447.0
375.0,51.0,469.0,68.0,240.75
203.0,477.0,687.0,878.0,561.25
66.0,54.0,800.0,6.0,231.5
80.0,108.0,476.0,87.0,187.75
832.0,716.0,843.0,213.0,651.0
269.0,147.0,211.0,201.0,207.0
441.0,279.0,841.0,415.0,494.0
771.0,687.0,7.0,258.0,430.75
158.0,596.0,803.0,832.0,597.25
112.0,618.0,728.0,190.0,412.0
85.0,542.0,865.0,359.0,462.75
909.0,154.0,707.0,468.0,559.5
141.0,598.0,871.0,329.0,484.75
546.0,712.0,97.0,354.0,427.25
347.0,115.0,211.0,734.0,351.75
762.0,549.0,841.0,667.0,704.75
330.0,422.0,625.0,832.0,552.25
127.0,709.0,172.0,961.0,492.25
371.0,640.0,485.0,79.0,393.75
430.0,190.0,773.0,930.0,580.75
39.0,114.0,503.0,998.0,413.5
755.0,331.0,852.0,948.0,721.5
353.0,645.0,616.0,394.0,502.0
571.0,799.0,212.0,492.0,518.5
469.0,676.0,974.0,807.0,731.5
290.0,428.0,45.0,146.0,227.25
215.0,359.0,264.0,654.0,373.0
809.0,385.0,788.0,858.0,710.0
223.0,344.0,684.0,280.0,382.75
186.0,435.0,310.0,43.0,243.5
603.0,646.0,15.0,147.0,352.75
698.0,580.0,55.0,48.0,345.25
140.0,10.0,947.0,436.0,383.25
751.0,941.0,873.0,309.0,718.5
733.0,352.0,829.0,263.0,544.25
843.0,39.0,425.0,497.0,451.0
822.0,943.0,639.0,454.0,714.5
997.0,424.0,828.0,156.0,601.25
182.0,782.0,362.0,611.0,484.25
825.0,648.0,504.0,889.0,716.5
262.0,284.0,925.0,156.0,406.75
164.0,61.0,803.0,828.0,464.0
133.0,803.0,421.0,917.0,568.5
545.0,797.0,321.0,203.0,466.5
16.0,759.0,607.0,313.0,423.75
683.0,269.0,797.0,218.0,491.75
608.0,514.0,656.0,999.0,694.25
794.0,412.0,438.0,218.0,465.5
823.0,271.0,729.0,714.0,634.25
21.0,467.0,820.0,943.0,562.75
280.0,298.0,517.0,169.0,316.0
526.0,941.0,253.0,471.0,547.75
945.0,667.0,266.0,408.0,571.5
133.0,5.0,673.0,690.0,375.25
836.0,329.0,344.0,593.0,525.5
76.0,40.0,359.0,260.0,183.75
38.0,559.0,343.0,533.0,368.25
767.0,435.0,490.0,809.0,625.25
784.0,758.0,708.0,145.0,598.75
898.0,878.0,44.0,272.0,523.0
171.0,335.0,17.0,403.0,231.5
602.0,761.0,484.0,911.0,689.5
496.0,814.0,840.0,98.0,562.0
252.0,965.0,238.0,42.0,374.25
535.0,633.0,678.0,162.0,502.0
186.0,442.0,473.0,691.0,448.0
415.0,167.0,831.0,103.0,379.0
124.0,496.0,339.0,488.0,361.75
575.0,587.0,947.0,285.0,598.5
502.0,471.0,193.0,731.0,474.25
806.0,929.0,642.0,358.0,683.75
572.0,893.0,198.0,601.0,566.0
210.0,164.0,106.0,191.0,167.75
675.0,505.0,366.0,870.0,604.0
553.0,727.0,940.0,641.0,715.25
774.0,24.0,423.0,647.0,467.0
924.0,783.0,166.0,263.0,534.0
669.0,718.0,912.0,899.0,799.5
683.0,907.0,168.0,215.0,493.25
846.0,903.0,714.0,279.0,685.5
676.0,290.0,104.0,308.0,344.5
650.0,435.0,60.0,20.0,291.25
120.0,527.0,174.0,99.0,230.0
329.0,831.0,909.0,915.0,746.0
345.0,141.0,980.0,508.0,493.5
365.0,620.0,65.0,677.0,431.75
485.0,395.0,821.0,741.0,610.5
898.0,425.0,701.0,345.0,592.25
334.0,445.0,711.0,467.0,489.25
289.0,315.0,816.0,86.0,376.5
523.0,459.0,64.0,507.0,388.25
852.0,546.0,677.0,120.0,548.75
515.0,652.0,422.0,184.0,443.25
476.0,527.0,894.0,696.0,648.25
942.0,519.0,77.0,910.0,612.0
22.0,827.0,351.0,523.0,430.75
272.0,907.0,787.0,753.0,679.75
967.0,945.0,934.0,52.0,724.5
448.0,701.0,504.0,747.0,600.0
494.0,811.0,583.0,526.0,603.5
832.0,852.0,919.0,239.0,710.5
417.0,977.0,826.0,742.0,740.5
692.0,856.0,889.0,884.0,830.25
779.0,423.0,157.0,507.0,466.5
701.0,948.0,596.0,281.0,631.5
191.0,265.0,611.0,637.0,426.0
29.0,109.0,403.0,73.0,153.5
382.0,326.0,516.0,606.0,457.5
149.0,879.0,543.0,451.0,505.5
172.0,95.0,1.0,137.0,101.25
116.0,339.0,164.0,139.0,189.5
792.0,820.0,452.0,778.0,710.5
114.0,514.0,186.0,217.0,257.75
13.0,301.0,470.0,36.0,205.0
914.0,952.0,975.0,114.0,738.75
948.0,959.0,774.0,897.0,894.5
872.0,109.0,689.0,784.0,613.5
631.0,912.0,101.0,799.0,610.75
253.0,147.0,236.0,864.0,375.0
988.0,314.0,760.0,861.0,730.75
664.0,390.0,380.0,841.0,568.75
843.0,217.0,981.0,477.0,629.5
649.0,677.0,825.0,490.0,660.25
217.0,478.0,253.0,965.0,478.25
251.0,469.0,177.0,483.0,345.0
341.0,851.0,505.0,20.0,429.25
200.0,212.0,62.0,256.0,182.5
606.0,495.0,513.0,550.0,541.0
38.0,211.0,79.0,107.0,108.75
406.0,561.0,889.0,822.0,669.5
201.0,377.0,957.0,406.0,485.25
262.0,187.0,155.0,67.0,167.75
687.0,709.0,369.0,46.0,452.75
21.0,534.0,580.0,53.0,297.0
794.0,122.0,879.0,904.0,674.75
946.0,843.0,59.0,630.0,619.5
938.0,258.0,259.0,937.0,598.0
815.0,707.0,880.0,372.0,693.5
103.0,971.0,843.0,143.0,515.0
166.0,888.0,475.0,64.0,398.25
59.0,381.0,67.0,722.0,307.25
793.0,369.0,100.0,142.0,351.0
791.0,441.0,233.0,57.0,380.5
464.0,434.0,68.0,730.0,424.0
962.0,341.0,275.0,829.0,601.75
998.0,298.0,455.0,595.0,586.5
865.0,884.0,32.0,377.0,539.5
529.0,166.0,891.0,220.0,451.5
234.0,538.0,195.0,878.0,461.25
311.0,368.0,683.0,753.0,528.75
834.0,455.0,726.0,822.0,709.25
287.0,216.0,719.0,151.0,343.25
487.0,380.0,402.0,1.0,317.5
513.0,246.0,272.0,126.0,289.25
506.0,526.0,758.0,284.0,518.5
780.0,529.0,351.0,187.0,461.75
381.0,535.0,985.0,268.0,542.25
758.0,197.0,638.0,569.0,540.5
220.0,953.0,477.0,664.0,578.5
156.0,659.0,347.0,329.0,372.75
986.0,881.0,597.0,792.0,814.0
751.0,408.0,495.0,147.0,450.25
727.0,737.0,226.0,561.0,562.75
288.0,190.0,880.0,53.0,352.75
811.0,972.0,767.0,124.0,668.5
611.0,999.0,191.0,431.0,558.0
909.0,36.0,346.0,306.0,399.25
77.0,460.0,972.0,860.0,592.25
61.0,729.0,129.0,258.0,294.25
846.0,207.0,915.0,827.0,698.75
326.0,638.0,671.0,644.0,569.75
645.0,744.0,61.0,516.0,491.5
140.0,723.0,735.0,701.0,574.75
892.0,280.0,929.0,124.0,556.25
973.0,677.0,312.0,752.0,678.5
652.0,84.0,522.0,431.0,422.25
905.0,990.0,785.0,396.0,769.0
309.0,773.0,579.0,882.0,635.75
81.0,816.0,468.0,794.0,539.75
275.0,98.0,419.0,487.0,319.75
364.0,120.0,902.0,769.0,538.75
639.0,5.0,422.0,894.0,490.0
93.0,547.0,606.0,449.0,423.75
493.0,243.0,206.0,259.0,300.25
943.0,372.0,819.0,545.0,669.75
714.0,961.0,879.0,735.0,822.25
89.0,532.0,367.0,871.0,464.75
597.0,54.0,500.0,635.0,446.5
206.0,354.0,677.0,766.0,500.75
751.0,968.0,758.0,747.0,806.0
8.0,420.0,926.0,546.0,475.0
351.0,444.0,306.0,703.0,451.0
528.0,640.0,495.0,485.0,537.0
690.0,507.0,802.0,785.0,696.0
944.0,879.0,187.0,158.0,542.0
972.0,175.0,245.0,297.0,422.25
605.0,358.0,717.0,168.0,462.0
67.0,354.0,657.0,770.0,462.0
707.0,485.0,105.0,384.0,420.25
518.0,139.0,732.0,129.0,379.5
726.0,935.0,488.0,567.0,679.0
22.0,830.0,177.0,107.0,284.0
341.0,855.0,930.0,73.0,549.75
142.0,238.0,717.0,333.0,357.5
622.0,397.0,985.0,152.0,539.0
886.0,328.0,888.0,715.0,704.25
529.0,402.0,200.0,507.0,409.5
73.0,907.0,310.0,685.0,493.75
988.0,444.0,345.0,144.0,480.25
782.0,663.0,615.0,725.0,696.25
580.0,676.0,998.0,965.0,804.75
861.0,194.0,652.0,196.0,475.75
197.0,440.0,43.0,280.0,240.0
811.0,211.0,231.0,977.0,557.5
664.0,204.0,956.0,792.0,654.0
81.0,212.0,285.0,609.0,296.75
177.0,188.0,464.0,9.0,209.5
207.0,862.0,273.0,132.0,368.5
753.0,967.0,745.0,85.0,637.5
813.0,779.0,589.0,597.0,694.5
572.0,85.0,73.0,161.0,222.75
164.0,461.0,505.0,394.0,381.0
526.0,605.0,184.0,916.0,557.75
435.0,63.0,32.0,353.0,220.75
800.0,779.0,826.0,797.0,800.5
138.0,71.0,458.0,633.0,325.0
856.0,677.0,568.0,971.0,768.0
299.0,349.0,774.0,910.0,583.0
984.0,910.0,537.0,608.0,759.75
362.0,154.0,397.0,687.0,400.0
698.0,600.0,675.0,258.0,557.75
263.0,508.0,625.0,709.0,526.25
307.0,850.0,906.0,477.0,635.0
765.0,77.0,729.0,985.0,639.0
303.0,509.0,903.0,782.0,624.25
217.0,113.0,934.0,670.0,483.5
385.0,605.0,822.0,189.0,500.25
182.0,324.0,864.0,338.0,427.0
801.0,89.0,97.0,702.0,422.25
909.0,958.0,507.0,818.0,798.0
89.0,639.0,504.0,952.0,546.0
876.0,336.0,187.0,352.0,437.75
685.0,131.0,431.0,887.0,533.5
598.0,542.0,412.0,785.0,584.25
168.0,730.0,1.0,820.0,429.75
383.0,251.0,796.0,200.0,407.5
404.0,797.0,935.0,599.0,683.75
730.0,724.0,975.0,195.0,656.0
480.0,21.0,153.0,572.0,306.5
887.0,797.0,360.0,881.0,731.25
462.0,227.0,930.0,57.0,419.0
91.0,775.0,354.0,870.0,522.5
755.0,572.0,991.0,991.0,827.25
850.0,519.0,861.0,723.0,738.25
13.0,576.0,761.0,800.0,537.5
651.0,218.0,623.0,630.0,530.5
725.0,410.0,773.0,593.0,625.25
625.0,73.0,409.0,865.0,493.0
581.0,0.0,867.0,760.0,552.0
926.0,949.0,783.0,661.0,829.75
779.0,441.0,367.0,550.0,534.25
57.0,6.0,400.0,571.0,258.5
199.0,486.0,297.0,652.0,408.5
531.0,758.0,993.0,283.0,641.25
145.0,608.0,345.0,680.0,444.5
714.0,443.0,94.0,67.0,329.5
281.0,991.0,102.0,847.0,555.25
192.0,266.0,10.0,423.0,222.75
910.0,516.0,108.0,66.0,400.0
418.0,349.0,196.0,160.0,280.75
181.0,157.0,544.0,374.0,314.0
987.0,509.0,477.0,50.0,505.75
209.0,918.0,895.0,352.0,593.5
483.0,580.0,652.0,139.0,463.5
636.0,531.0,562.0,875.0,651.0
439.0,28.0,186.0,577.0,307.5
83.0,323.0,654.0,234.0,323.5
820.0,356.0,158.0,219.0,388.25
980.0,626.0,38.0,245.0,472.25
852.0,570.0,926.0,153.0,625.25
187.0,324.0,334.0,433.0,319.5
955.0,248.0,153.0,909.0,566.25
143.0,351.0,236.0,286.0,254.0
556.0,640.0,393.0,828.0,604.25
194.0,713.0,139.0,409.0,363.75
647.0,433.0,607.0,145.0,458.0
860.0,577.0,784.0,367.0,647.0
612.0,823.0,999.0,931.0,841.25
393.0,213.0,879.0,606.0,522.75
649.0,399.0,394.0,460.0,475.5
533.0,457.0,526.0,980.0,624.0
309.0,183.0,592.0,395.0,369.75
20.0,584.0,791.0,362.0,439.25
808.0,688.0,930.0,589.0,753.75
876.0,457.0,522.0,118.0,493.25
831.0,75.0,215.0,184.0,326.25
283.0,566.0,220.0,773.0,460.5
495.0,594.0,886.0,347.0,580.5
66.0,900.0,534.0,600.0,525.0
766.0,543.0,652.0,338.0,574.75
724.0,609.0,372.0,394.0,524.75
514.0,346.0,700.0,130.0,422.5
830.0,483.0,324.0,707.0,586.0
236.0,934.0,737.0,514.0,605.25
912.0,95.0,974.0,162.0,535.75
584.0,661.0,272.0,459.0,494.0
960.0,628.0,703.0,402.0,673.25
204.0,177.0,774.0,798.0,488.25
252.0,171.0,531.0,780.0,433.5
745.0,406.0,490.0,771.0,603.0
231.0,216.0,608.0,548.0,400.75
85.0,825.0,245.0,573.0,432.0
310.0,732.0,564.0,285.0,472.75
479.0,858.0,869.0,299.0,626.25
708.0,640.0,48.0,36.0,358.0
771.0,630.0,993.0,407.0,700.25
99.0,527.0,679.0,4.0,327.25
526.0,237.0,273.0,780.0,454.0
763.0,898.0,360.0,422.0,610.75
650.0,350.0,92.0,500.0,398.0
172.0,40.0,741.0,570.0,380.75
105.0,492.0,231.0,267.0,273.75
159.0,575.0,328.0,981.0,510.75
569.0,499.0,98.0,161.0,331.75
945.0,399.0,656.0,428.0,607.0
908.0,267.0,573.0,431.0,544.75
319.0,213.0,335.0,53.0,230.0
890.0,555.0,369.0,12.0,456.5
841.0,280.0,479.0,506.0,526.5
78.0,735.0,921.0,530.0,566.0
986.0,591.0,272.0,595.0,611.0
373.0,869.0,256.0,142.0,410.0
71.0,136.0,128.0,456.0,197.75
252.0,280.0,237.0,566.0,333.75
996.0,110.0,281.0,607.0,498.5
868.0,20.0,317.0,484.0,422.25
990.0,504.0,201.0,772.0,616.75
211.0,234.0,661.0,346.0,363.0
35.0,44.0,985.0,343.0,351.75
585.0,163.0,697.0,101.0,386.5
441.0,498.0,214.0,184.0,334.25
460.0,19.0,375.0,395.0,312.25
924.0,861.0,876.0,593.0,813.5
702.0,54.0,472.0,563.0,447.75
498.0,295.0,703.0,3.0,374.75
878.0,405.0,648.0,406.0,584.25
622.0,7.0,220.0,742.0,397.75
301.0,724.0,517.0,67.0,402.25
215.0,71.0,256.0,241.0,195.75
264.0,760.0,145.0,455.0,406.0
139.0,318.0,110.0,985.0,388.0
333.0,844.0,797.0,702.0,669.0
31.0,120.0,935.0,465.0,387.75
715.0,163.0,120.0,259.0,314.25
963.0,872.0,596.0,752.0,795.75
305.0,483.0,264.0,86.0,284.5
473.0,231.0,12.0,663.0,344.75
777.0,880.0,143.0,477.0,569.25
779.0,445.0,559.0,651.0,608.5
889.0,313.0,484.0,454.0,535.0
120.0,478.0,624.0,785.0,501.75
724.0,362.0,887.0,505.0,619.5
698.0,90.0,577.0,968.0,583.25
765.0,808.0,976.0,937.0,871.5
549.0,128.0,276.0,718.0,417.75
178.0,25.0,747.0,598.0,387.0
410.0,603.0,774.0,639.0,606.5
312.0,125.0,324.0,556.0,329.25
324.0,302.0,846.0,696.0,542.0
365.0,431.0,961.0,314.0,517.75
207.0,178.0,525.0,974.0,471.0
891.0,645.0,750.0,97.0,595.75
981.0,48.0,212.0,688.0,482.25
846.0,236.0,111.0,230.0,355.75
851.0,769.0,227.0,830.0,669.25
587.0,898.0,977.0,391.0,713.25
971.0,168.0,884.0,116.0,534.75
541.0,15.0,321.0,438.0,328.75
866.0,501.0,897.0,217.0,620.25
174.0,554.0,382.0,621.0,432.75
250.0,271.0,16.0,181.0,179.5
345.0,215.0,314.0,316.0,297.5
674.0,102.0,916.0,328.0,505.0
491.0,740.0,241.0,585.0,514.25
926.0,581.0,348.0,591.0,611.5
281.0,925.0,898.0,998.0,775.5
115.0,458.0,630.0,423.0,406.5
443.0,275.0,268.0,958.0,486.0
240.0,908.0,299.0,46.0,373.25
892.0,255.0,615.0,563.0,581.25
371.0,995.0,918.0,283.0,641.75
165.0,360.0,171.0,20.0,179.0
787.0,251.0,207.0,543.0,447.0
365.0,844.0,871.0,405.0,621.25
208.0,978.0,283.0,733.0,550.5
105.0,601.0,871.0,570.0,536.75
698.0,299.0,435.0,591.0,505.75
5.0,342.0,323.0,852.0,380.5
820.0,727.0,784.0,72.0,600.75
47.0,452.0,796.0,492.0,446.75
401.0,64.0,922.0,461.0,462.0
210.0,826.0,74.0,983.0,523.25
62.0,735.0,958.0,214.0,492.25
246.0,452.0,488.0,216.0,350.5
333.0,48.0,241.0,292.0,228.5
124.0,582.0,182.0,844.0,433.0
952.0,712.0,542.0,335.0,635.25
313.0,361.0,39.0,125.0,209.5
405.0,285.0,762.0,489.0,485.25
996.0,294.0,414.0,708.0,603.0
825.0,758.0,834.0,472.0,722.25
395.0,344.0,548.0,501.0,447.0
381.0,368.0,904.0,645.0,574.5
554.0,942.0,553.0,883.0,733.0
816.0,297.0,493.0,530.0,534.0
286.0,273.0,774.0,107.0,360.0
880.0,690.0,975.0,476.0,755.25
658.0,582.0,590.0,409.0,559.75
95.0,165.0,370.0,51.0,170.25
364.0,16.0,722.0,595.0,424.25
907.0,535.0,601.0,440.0,620.75
921.0,746.0,637.0,853.0,789.25
644.0,258.0,191.0,865.0,489.5
986.0,376.0,309.0,258.0,482.25
46.0,181.0,382.0,660.0,317.25
595.0,425.0,239.0,340.0,399.75
501.0,122.0,762.0,247.0,408.0
327.0,639.0,358.0,262.0,396.5
316.0,736.0,1.0,434.0,371.75
131.0,501.0,289.0,634.0,388.75
209.0,213.0,856.0,224.0,375.5
395.0,597.0,696.0,516.0,551.0
807.0,510.0,50.0,859.0,556.5
972.0,211.0,184.0,447.0,453.5
642.0,135.0,346.0,30.0,288.25
15.0,161.0,377.0,624.0,294.25
491.0,123.0,430.0,973.0,504.25
803.0,334.0,675.0,809.0,655.25
814.0,883.0,973.0,637.0,826.75
885.0,883.0,694.0,99.0,640.25
603.0,94.0,249.0,262.0,302.0
192.0,408.0,741.0,433.0,443.5
524.0,802.0,84.0,634.0,511.0
940.0,944.0,724.0,670.0,819.5
324.0,235.0,338.0,284.0,295.25
301.0,840.0,156.0,819.0,529.0
527.0,597.0,580.0,931.0,658.75
385.0,717.0,519.0,438.0,514.75
109.0,682.0,715.0,61.0,391.75
281.0,171.0,900.0,563.0,478.75
976.0,984.0,995.0,492.0,861.75
74.0,829.0,45.0,357.0,326.25
65.0,597.0,225.0,557.0,361.0
125.0,204.0,365.0,707.0,350.25
810.0,427.0,336.0,753.0,581.5
306.0,311.0,808.0,235.0,415.0
465.0,49.0,17.0,462.0,248.25
934.0,724.0,615.0,837.0,777.5
254.0,345.0,951.0,537.0,521.75
165.0,546.0,128.0,962.0,450.25
166.0,566.0,726.0,384.0,460.5
481.0,14.0,768.0,927.0,547.5
891.0,673.0,43.0,679.0,571.5
200.0,780.0,148.0,487.0,403.75
360.0,335.0,571.0,973.0,559.75
721.0,27.0,154.0,834.0,434.0
217.0,280.0,455.0,211.0,290.75
558.0,525.0,905.0,471.0,614.75
663.0,890.0,881.0,58.0,623.0
449.0,180.0,630.0,229.0,372.0
373.0,446.0,919.0,11.0,437.25
900.0,824.0,760.0,974.0,864.5
800.0,608.0,38.0,444.0,472.5
792.0,797.0,17.0,977.0,645.75
6.0,541.0,397.0,597.0,385.25
